scenarioID,hostRegionCode,primaryAreaCode,matchStageCode,stadiumCapacity,ticketHolders,transitPassengers,pedestrianVolume,areaPedestrianVolume,egressMinutes,fTAFundingMillions,latitude,longitude,analysisRadiusM,outcome
1,8,15,0,80663,80000,21695,53000,29150,60,10.438681,40.807664,-74.069833,250,1
2,8,15,0,80663,78401,26221,42000,23100,70,10.438681,40.807664,-74.069833,250,1
3,8,15,0,80663,72777,25946,42000,23100,60,10.438681,40.807664,-74.069833,250,0
4,8,15,0,80663,80663,20857,56000,30800,60,10.438681,40.807664,-74.069833,250,1
5,8,15,0,80663,80663,26009,50000,27500,60,10.438681,40.807664,-74.069833,250,1
6,8,15,1,80663,73115,22816,45000,24750,60,10.438681,40.807664,-74.069833,250,0
7,8,15,2,80663,74273,22258,46000,25300,60,10.438681,40.807664,-74.069833,250,0
8,8,15,5,80663,80663,21024,65000,35750,60,10.438681,40.807664,-74.069833,250,1
9,3,6,1,70649,66636,5748,7439,3348,110,10.033037,32.7506,-97.0915,350,0
10,9,17,2,68324,60634,34977,30321,18193,87,8.474327,39.9047,-75.1736,250,1
11,6,11,0,70492,54851,22521,9051,4526,102,9.603284,33.9509,-118.3441,350,0
12,6,11,3,70492,70351,23946,19228,9614,118,9.603284,33.9509,-118.3441,350,1
13,1,1,0,68239,62734,26616,26017,15090,60,9.391018,33.7565,-84.4038,250,0
14,11,21,1,66925,63611,28105,38679,21273,61,8.408439,47.5917,-122.3272,250,1
15,9,17,0,68324,51982,24767,24763,14858,70,8.474327,39.9047,-75.1736,250,0
16,3,6,3,70649,62496,3125,5000,2250,122,10.033037,32.7506,-97.0915,350,0
17,6,11,0,70492,59553,20842,17884,8942,84,9.603284,33.9509,-118.3441,350,0
18,3,6,1,70649,58936,5800,7782,3502,110,10.033037,32.7506,-97.0915,350,0
19,10,19,0,68827,48455,25167,22405,14563,76,8.807888,37.403468,-121.974908,250,0
20,2,3,0,64146,56338,15909,10121,6579,98,8.671598,42.0889,-71.2597,250,0
21,1,1,2,68239,64284,36479,34285,19885,68,9.391018,33.7565,-84.4038,250,1
22,1,1,0,68239,61345,28831,24467,14191,65,9.391018,33.7565,-84.4038,250,0
23,8,16,0,80663,56559,11567,35660,16047,64,10.438681,40.81145,-74.07075,350,0
24,4,7,2,68777,57719,15447,17538,10523,88,9.092387,29.6852,-95.407,250,0
25,8,15,0,80663,69275,23883,38689,21279,78,10.438681,40.807664,-74.069833,250,0
26,10,19,0,68827,59441,27460,20194,13126,92,8.807888,37.403468,-121.974908,250,0
27,8,16,0,80663,62099,15334,40404,18182,63,10.438681,40.81145,-74.07075,350,0
28,1,1,0,68239,54975,29505,18162,10534,53,9.391018,33.7565,-84.4038,250,0
29,4,7,0,68777,64021,21351,29205,17523,89,9.092387,29.6852,-95.407,250,1
