analogEventId,hostRegion,venue,event,eventType,dateOrPeriod,eventDays,totalAttendance,perEventAttendance,transitBoardings,pedestrianProxy,qualifier,recommendedModelUse,evidenceClass,attendanceSourceUrl,transitSourceUrl
ATL-CON-2023,Atlanta,Mercedes-Benz Stadium,Taylor Swift Eras Tour,concert,2023-04-28 to 2023-04-30,3,180000,60000,,60000,expected total from stadium officials; not audited observed count,attendance_as_upper_bound,venue expectation via local media,https://www.fox5atlanta.com/news/photos-taylor-swift-at-mercedes-benz-stadium-in-atlanta,
BOS-NFL-2024,Boston,Gillette Stadium,Miami Dolphins at New England Patriots,NFL,2024-10-06,1,64628,64628,,64628,paid attendance,attendance_as_upper_bound,official NFL gamebook,https://static.clubs.nfl.com/image/upload/patriots/epox1w0eoj3ips7qs7r8.pdf,
DAL-WWE-2022,Dallas,AT&T Stadium,WrestleMania 38,stadium entertainment,2022-04-02 to 2022-04-03,2,156352,78176,,78176,promoter-announced total,attendance_as_upper_bound,official WWE release,https://corporate.wwe.com/f/docs/press-releases/04042022_107.pdf,
HOU-NFL-2017,Houston,NRG Stadium,Super Bowl LI,NFL,2017-02-05,1,70807,70807,,70807,paid attendance,attendance_as_upper_bound,official NFL gamebook,https://static.clubs.nfl.com/image/upload/v1578329293/patriots/duxq4dvro9amapous1vq.pdf,
KC-NFL-2024,Kansas City,GEHA Field at Arrowhead Stadium,Chiefs major-game crowd benchmark,NFL,2024 season,1,70000,70000,,70000,"lower bound: more than 70,000 in-house",attendance_as_lower_bound,team-reported crowd scale,https://www.chiefs.com/stadium/,
LA-NFL-2022,Los Angeles,SoFi Stadium,Super Bowl LVI,NFL,2022-02-13,1,70048,70048,,70048,official attendance,attendance_as_upper_bound,NFL record book / box score,https://www.pro-football-reference.com/boxscores/202202130cin.htm,
LA-WWE-2023,Los Angeles,SoFi Stadium,WrestleMania 39,stadium entertainment,2023-04-01 to 2023-04-02,2,161892,80946,,80946,promoter-announced total,attendance_as_upper_bound,official WWE release,https://corporate.wwe.com/about/news/2023/04-03-2023a,
MIA-NFL-2020,Miami,Hard Rock Stadium,Super Bowl LIV,NFL,2020-02-02,1,62417,62417,,62417,official attendance,attendance_as_upper_bound,NFL box score,https://www.pro-football-reference.com/boxscores/202002020kan.htm,
NYNJ-CON-2023,New York/New Jersey,MetLife Stadium,Taylor Swift Eras Tour,concert,2023-05-26 to 2023-05-28,3,217625,72542,,72542,venue-reported three-night total; average rounded,attendance_as_upper_bound,venue report via media,https://www.imdb.com/news/ni64100526/,
PHI-CON-2023,Philadelphia,Lincoln Financial Field,Ed Sheeran Mathematics Tour,concert,2023-06-03,1,77900,77900,,77900,venue spokesperson-reported,attendance_as_upper_bound,local media citing Eagles spokesperson,https://billypenn.com/2023/06/05/ed-sheeran-philips-steaks-lincoln-financial-field/,
SF-CON-2023,San Francisco Bay Area,Levi's Stadium,Taylor Swift Eras Tour,concert,2023-07-28,1,,,23400,23400,VTA event-day light-rail boardings; not unique people,transit_boardings_observed,official VTA release,https://www.vta.org/media/37311,https://www.vta.org/media/37311
SF-NFL-2016,San Francisco Bay Area,Levi's Stadium,Super Bowl 50,NFL,2016-02-07,1,71088,71088,10000,71088,paid attendance; VTA boardings reported separately,attendance_plus_transit,NFL box score + official VTA analog,https://www.pro-football-reference.com/boxscores/201602070den.htm,https://www.vta.org/media/37311
SEA-CON-2023,Seattle,Lumen Field,Taylor Swift Eras Tour night one,concert,2023-07-22,1,72171,72171,,72171,reported first-night record,attendance_as_upper_bound,venue event page / reported record,https://www.lumenfield.com/multi-day-events/taylor-swift-2023,
SEA-CON2-2023,Seattle,Lumen Field,Ed Sheeran Mathematics Tour,concert,2023-08-26,1,77286,77286,,77286,venue-reported record,attendance_as_upper_bound,local media citing venue,https://www.fox13seattle.com/news/ed-sheeran-breaks-taylor-swifts-lumen-field-attendance-record,
