areaCode,areaShortCode,areaId,cityId,hostRegion,exactAreaName,areaType,latitude,longitude,analysisRadiusM,cityEventPedDesignTotal,areaShare,areaDesignPedestrians,volumeUnit,volumeBasis,comparatorMetric,comparatorValue,comparatorQualifier,comparatorScopeNote,temporaryAreaFix,permanentAreaFix,spatialPrecision,evidenceClass,sourceUrl
1,ATL-VC,atl-vine-city,atlanta,Atlanta,Vine City Station–Northside Drive approach,rail_station_walkshed,33.7565,-84.4038,250,25931,0.58,15040,pedestrians/event,capacity × modeled external-pedestrian share,Vine City share of 2026 match-day rail demand,0.14,reported share,Vine City station/venue access pages,temporary queue fencing; crossing marshals; portable lighting,widened crossings; permanent lighting; protected pedestrian separation,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.itsmarta.com/Vine-City.aspx
2,ATL-SEC,atl-sec-district,atlanta,Atlanta,GWCC/CNN Center–Andrew Young International Boulevard approach,downtown_event_district,33.7564,-84.3986,300,25931,0.42,10891,pedestrians/event,capacity × modeled external-pedestrian share,SEC District share of 2026 match-day rail demand,0.38,reported share,SEC District proxy for the GWCC/CNN Center stadium approach,temporary pedestrian street management; ambassadors,wider sidewalks; upgraded signals; permanent multilingual wayfinding,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.mercedesbenzstadium.com/stadium-maps
3,BOS-FXR,bos-foxboro-station,boston,Boston,Foxboro Station platform and stadium underpass,event_rail_station,42.0889,-71.2597,250,14112,0.65,9173,pedestrians/event,capacity × modeled external-pedestrian share,Average event-train round-trip tickets per 2026 match,15563,"derived: 108,940 / 7",Official state post-event total divided by seven matches,platform queue barriers; timed train release,platform/gate expansion; accessible circulation; redundant passenger information,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.mbta.com/stops/place-FB-0191
4,BOS-GA,bos-patriot-place-gate-a,boston,Boston,Patriot Place north plaza and Gate A,stadium_plaza,42.0916,-71.2648,300,14112,0.35,4939,pedestrians/event,capacity × modeled external-pedestrian share,World Cup stadium capacity,64146,official final capacity,Capacity is not an observed area count,temporary fan pens; shade/water; crossing staff,permanent shaded plaza; wider accessible path; fixed wayfinding,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.gillettestadium.com/
5,DAL-EPL,dal-att-way-east-plaza,dallas,Dallas,AT&T Way east plaza approach,stadium_plaza,32.7479,-97.0909,300,10597,0.55,5828,pedestrians/event,capacity × modeled external-pedestrian share,WrestleMania 38 average attendance per night,78176,"derived: 156,352 / 2",Comparable event at the same venue,temporary bollards; pedestrian-only windows; shuttle marshals,permanent protected promenade; signalized crossings; shade,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://attstadium.com/stadium-info/parking/
6,DAL-MLH,dal-miller-litehouse,dallas,Dallas,Miller LiteHouse pickup at North Collins Street and Cowboys Way,curb_mobility_zone,32.7506,-97.0915,350,10597,0.45,4769,pedestrians/event,capacity × modeled external-pedestrian share,WrestleMania 38 total two-night attendance,156352,promoter-announced,"Two-night total, not simultaneous occupancy",geofenced TNC queue; temporary bus bays; cones,permanent mobility hub; off-street bays; pedestrian refuge islands,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://attstadium.com/stadium-info/parking/
7,HOU-SPA,hou-stadium-park-astrodome,houston,Houston,Stadium Park/Astrodome Station–Fannin Street approach,light_rail_station,29.6852,-95.407,250,21321,0.6,12793,pedestrians/event,capacity × modeled external-pedestrian share,Super Bowl LI paid attendance,70807,official gamebook,Comparable event at the same venue,platform queue barriers; rail surge staff,platform access expansion; protected Fannin crossing; fixed passenger information,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.ridemetro.org/riding-metro/houston-attractions/reliant-park
8,HOU-KIR,hou-kirby-nrg,houston,Houston,Kirby Drive and NRG Parkway west gate,arterial_stadium_gate,29.6846,-95.4141,300,21321,0.4,8528,pedestrians/event,capacity × modeled external-pedestrian share,World Cup stadium capacity,68777,official final capacity,Capacity is not an observed area count,lane closures; staffed crossings; portable barriers,raised crossings; permanent signal priority; wider west-gate sidewalk,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.reliantpark.com/maps/
9,KC-BRC,kc-blue-ridge-gate3,kansas-city,Kansas City,Blue Ridge Cutoff Gate 3 and bus zone,bus_arrival_zone,39.0471,-94.4806,350,8285,0.55,4557,pedestrians/event,capacity × modeled external-pedestrian share,World Cup stadium capacity,69045,official final capacity,Capacity is not an observed area count,temporary bus-only access; managed unloading; cones,permanent bus-priority approach; accessible platforms; signal control,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.arrowheadstadiumkc.com/plan-your-visit/parking-tailgating/maps-directions
10,KC-WPL,kc-west-plaza,kansas-city,Kansas City,Arrowhead west parking and plaza approach,parking_plaza,39.0491,-94.4871,400,8285,0.45,3728,pedestrians/event,capacity × modeled external-pedestrian share,In-house Chiefs event crowd benchmark,70000,lower-bound reported,"Use as a lower-bound analog, not an audited count",temporary protected walk aisles; lighting towers,permanent walk spine; planted shade; separated crossings,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.arrowheadstadiumkc.com/plan-your-visit/parking-tailgating/maps-directions
11,LA-SPP,la-sofi-south-plaza,los-angeles,Los Angeles,SoFi south plaza at Pincay Drive and Prairie Avenue,stadium_plaza,33.9509,-118.3441,350,14098,0.5,7049,pedestrians/event,capacity × modeled external-pedestrian share,Super Bowl LVI attendance,70048,official result,Comparable event at the same venue,temporary pedestrianized frontage; shade/water; crowd gates,permanent car-free plaza edge; protected crossings; shade structures,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.sofistadium.com/plan-your-visit/maps
12,LA-DTI,la-downtown-inglewood,los-angeles,Los Angeles,Downtown Inglewood K Line shuttle interchange,rail_shuttle_interchange,33.9552,-118.3557,400,14098,0.5,7049,pedestrians/event,capacity × modeled external-pedestrian share,Direct stadium rides during 2026 tournament,212865,reported tournament total,"All tournament rides, not one match",temporary shuttle platforms; queue fencing; dispatch staff,permanent mobility hub; wider platforms; real-time dispatch system,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.metro.net/riding/gameday/
13,MIA-NW27,mia-nw199-nw27,miami,Miami,NW 199th Street and NW 27th Avenue approach,arterial_stadium_gate,25.957,-80.2425,400,9027,0.55,4965,pedestrians/event,capacity × modeled external-pedestrian share,Official 2026 shuttle hubs,4,official plan count,"Hub count, not pedestrian volume",temporary shuttle priority; cooling tents; staffed crossings,permanent transit-priority junction; shade; protected pedestrian crossing,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.hardrockstadium.com/parking/
14,MIA-SG,mia-south-gate,miami,Miami,Hard Rock Stadium south-gate rideshare and shuttle zone,curb_mobility_zone,25.9549,-80.2383,350,9027,0.45,4062,pedestrians/event,capacity × modeled external-pedestrian share,World Cup stadium capacity,64478,official final capacity,Capacity is not an observed area count,geofenced rideshare; temporary accessible shuttle bay,permanent off-street mobility hub; shaded accessible route,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.hardrockstadium.com/parking/
15,NYNJ-MRS,nynj-meadowlands-station,nynj,New York/New Jersey,Meadowlands Rail Station and aerial walkway,event_rail_station,40.807664,-74.069833,250,65000,0.55,35750,pedestrians/event,observed 2026 city total; area split modeled,Pedestrians at the 2026 final,65000,observed final,Stadium-wide pedestrian total; area share is modeled,temporary platform metering; queue barriers; ambassadors,platform and gate capacity; wider walkway; accessible redundancy,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.njtransit.com/meadowlands
16,NYNJ-ADM,nynj-american-dream-corridor,nynj,New York/New Jersey,American Dream–MetLife protected corridor,intercampus_walkway,40.81145,-74.07075,350,65000,0.45,29250,pedestrians/event,observed 2026 city total; area split modeled,Pedestrians at the 2026 final,65000,observed final,Stadium-wide pedestrian total; area share is modeled,barricaded protected corridor; portable lighting,widened permanent path; separation; lighting; drainage and shade,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
17,PHI-NRG,phi-nrg-station,philadelphia,Philadelphia,NRG Station and Broad Street queue zone,metro_terminal,39.9047,-75.1736,250,30746,0.6,18448,pedestrians/event,capacity × modeled external-pedestrian share,Planned SEPTA riders per 2026 match,31000,official plan; approximately,"Plan value, not post-event observation",temporary queue channels; platform metering; ambassadors,expanded gates; platform circulation; accessible passenger information,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://wwww.septa.org/news/infrastructure-improvements-for-fifa/
18,PHI-DE,phi-lots-de,philadelphia,Philadelphia,Lincoln Financial Field Lots D/E east approach,stadium_parking_walkway,39.90006,-75.16965,300,30746,0.4,12298,pedestrians/event,capacity × modeled external-pedestrian share,Ed Sheeran 2023 attendance,77900,venue spokesperson via local media,Comparable concert at the same venue,temporary parking walk aisles; crossing marshals,permanent pedestrian spine; raised crossings; shade and lighting,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.lincolnfinancialfield.com/lots-de/
19,SF-GA,sf-great-america-station,sf-bay,San Francisco Bay Area,Great America VTA station platform queue,light_rail_station,37.403468,-121.974908,250,26154,0.65,17000,pedestrians/event,capacity × modeled external-pedestrian share,Peak 2026 VTA stadium trips,42000,reported: nearly,"Trips, not unique people or pedestrians",temporary queue fencing; additional rail cars; platform staff,platform access expansion; weather protection; fixed wayfinding,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.vta.org/go/stations/great-america
20,SF-TAS,sf-tasman-debartolo,sf-bay,San Francisco Bay Area,Tasman Drive and Marie P. DeBartolo Way east plaza,stadium_plaza,37.4035,-121.9696,300,26154,0.35,9154,pedestrians/event,capacity × modeled external-pedestrian share,Taylor Swift 2023 VTA light-rail boardings,23400,observed boardings,"System event boardings, not area pedestrians",temporary road closure; pedestrian pens; crossing staff,raised protected crossing; permanent promenade; shade,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.vta.org/media/37311
21,SEA-STA,sea-stadium-station,seattle,Seattle,Stadium Station and Royal Brougham Way approach,light_rail_station,47.5917,-122.3272,250,36809,0.55,20245,pedestrians/event,capacity × modeled external-pedestrian share,Peak 2026 match-day Link boardings,309000,preliminary systemwide,"Systemwide boardings, not area pedestrians",platform metering; temporary queue rails; extra staff,station access expansion; platform information; redundant accessible route,planning_anchor ±25–100 m,engineering_assumption with cited comparator,https://www.soundtransit.org/ride-with-us/popular-destinations/lumen-field
