hostRegionCode,cityId,hostRegion,category,categoryName,selectedUnits,decisionUnit,temporaryShare,shareOfHostBudget,temporaryFix,permanentFix,usefulLifeYears,evidenceClass,fundingSourceId,sourceUrl,officialHostBudgetCents,typicalUnitCostCents,modeledCategoryAllocationCents,temporaryAllocationCents,permanentAllocationCents
1,atlanta,Atlanta,service,Extra transit service,4,"2,500 vehicle-hours",0.8,0.23426640221539347,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,55000000,220000000,176000000,44000000
1,atlanta,Atlanta,buslane,Transit-priority lanes,3,2 lane-miles,0.45,0.11500350654210226,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,36000000,108000000,48600000,59400000
1,atlanta,Atlanta,signals,Signal timing plans,4,20 intersections,0.25,0.03833450218070075,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,9000000,36000000,9000000,27000000
1,atlanta,Atlanta,hub,Hub-to-stadium shuttle package,1,1 hub package,0.4,0.07986354620979323,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,75000000,75000000,30000000,45000000
1,atlanta,Atlanta,parkride,Park-and-ride package,0,500 spaces,0.5,0,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,45000000,0,0,0
1,atlanta,Atlanta,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,60000000,0,0,0
1,atlanta,Atlanta,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,65000000,0,0,0
1,atlanta,Atlanta,tnc,Managed rideshare hub,1,1 staffed hub,0.5,0.042593891311889724,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,40000000,40000000,20000000,20000000
1,atlanta,Atlanta,wayfinding,Multilingual wayfinding,2,city package,0.45,0.06389083696783458,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,30000000,60000000,27000000,33000000
1,atlanta,Atlanta,station,Station-capacity package,2,1 station,0.2,0.26621182069931076,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,125000000,250000000,50000000,200000000
