projectId,hostRegionCode,cityId,hostRegion,category,categoryName,phase,areaId,areaShortCode,exactAreaName,latitude,longitude,analysisRadiusM,geometryType,lengthM,widthM,heightM,bearingDeg,zOffsetM,colorHex,opacity,renderEnabled,designDescription,implementationStatus,spatialPrecision,evidenceClass,sourceUrl,allocationCents
atlanta-service-TMP,1,atlanta,Atlanta,service,Extra transit service,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,animated_route,1500,2,0.5,29,0.05,#F59E0B,0.55,Yes,extra rail/bus vehicle-hours; standby operators; event timetable,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,176000000
atlanta-service-PERM,1,atlanta,Atlanta,service,Extra transit service,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,animated_route,1500,2,1,36,0.1,#2563EB,0.85,Yes,recurring major-event service plan; fleet and stabling readiness,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,44000000
atlanta-buslane-TMP,1,atlanta,Atlanta,buslane,Transit-priority lanes,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,line_extrusion,3200,3.5,0.1,46,0.05,#F59E0B,0.55,Yes,cone- and paint-defined bus lane with enforcement,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,48600000
atlanta-buslane-PERM,1,atlanta,Atlanta,buslane,Transit-priority lanes,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,line_extrusion,3200,3.5,0.1,53,0.1,#2563EB,0.85,Yes,dedicated or peak-period transit-priority lane,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,59400000
atlanta-signals-TMP,1,atlanta,Atlanta,signals,Signal timing plans,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,point_model,1,1,3,63,0.05,#F59E0B,0.55,Yes,police/manual traffic control and temporary timing plan,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,9000000
atlanta-signals-PERM,1,atlanta,Atlanta,signals,Signal timing plans,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,point_model,1,1,6,70,0.1,#2563EB,0.85,Yes,adaptive controllers and transit signal priority,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,27000000
atlanta-hub-TMP,1,atlanta,Atlanta,hub,Hub-to-stadium shuttle package,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,90,60,3,80,0.05,#F59E0B,0.55,Yes,pop-up shuttle zone; temporary shelters and dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,30000000
atlanta-hub-PERM,1,atlanta,Atlanta,hub,Hub-to-stadium shuttle package,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,90,60,6,87,0.1,#2563EB,0.85,Yes,permanent multimodal mobility hub,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,45000000
atlanta-parkride-TMP,1,atlanta,Atlanta,parkride,Park-and-ride package,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,220,150,0.2,97,0.05,#F59E0B,0.55,No,leased intercept lots and temporary signing,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,0
atlanta-parkride-PERM,1,atlanta,Atlanta,parkride,Park-and-ride package,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,220,150,0.2,104,0.1,#2563EB,0.85,No,permanent park-and-ride with charging and transit access,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,0
