categoryCode,category,categoryName,decisionUnit,temporaryShare,permanentShare,usefulLifeYears,defaultAreaTarget,defaultGeometryType,temporaryFix,permanentFix,evidenceClass,typicalUnitCostCents
1,service,Extra transit service,"2,500 vehicle-hours",0.8,0.19999999999999996,1,transit,animated_route,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,engineering_assumption,55000000
2,buslane,Transit-priority lanes,2 lane-miles,0.45,0.55,10,curb,line_extrusion,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,engineering_assumption,36000000
3,signals,Signal timing plans,20 intersections,0.25,0.75,10,curb,point_model,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,engineering_assumption,9000000
4,hub,Hub-to-stadium shuttle package,1 hub package,0.4,0.6,15,curb,polygon_extrusion,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,engineering_assumption,75000000
5,parkride,Park-and-ride package,500 spaces,0.5,0.5,5,curb,polygon_extrusion,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,engineering_assumption,45000000
6,ped,Protected pedestrian corridor,1 tactical mile,0.35,0.65,15,transit,line_extrusion,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,engineering_assumption,60000000
7,bike,Protected bicycle access,2 route-miles + parking,0.35,0.65,15,transit,line_extrusion,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,engineering_assumption,65000000
8,tnc,Managed rideshare hub,1 staffed hub,0.5,0.5,10,curb,polygon_extrusion,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,engineering_assumption,40000000
9,wayfinding,Multilingual wayfinding,city package,0.45,0.55,7,transit,point_model,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,engineering_assumption,30000000
10,station,Station-capacity package,1 station,0.2,0.8,25,transit,glb_model,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",engineering_assumption,125000000
11,toc,Integrated traffic operations,city package,0.25,0.75,10,curb,glb_model,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,engineering_assumption,75000000
12,access,ADA/microtransit access,city package,0.3,0.7,15,transit,line_extrusion,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,engineering_assumption,50000000
