HostRegionCode,MatchStageCode,StadiumCapacity,TicketHolders,TransitPassengers,PedestrianVolume,EgressMinutes,FTAFundingMillions,Outcome
8,0,80663,80000,21695,53000,60,10.438681,1
8,0,80663,78401,26221,42000,70,10.438681,1
8,0,80663,72777,25946,42000,60,10.438681,0
8,0,80663,80663,20857,56000,60,10.438681,1
8,0,80663,80663,26009,50000,60,10.438681,1
8,1,80663,73115,22816,45000,60,10.438681,0
8,2,80663,74273,22258,46000,60,10.438681,0
8,5,80663,80663,21024,65000,60,10.438681,1
3,1,70649,66636,5748,7439,110,10.033037,0
9,2,68324,60634,34977,30321,87,8.474327,1
6,0,70492,54851,22521,9051,102,9.603284,0
6,3,70492,70351,23946,19228,118,9.603284,1
1,0,68239,62734,26616,26017,60,9.391018,0
11,1,66925,63611,28105,38679,61,8.408439,1
9,0,68324,51982,24767,24763,70,8.474327,0
3,3,70649,62496,3125,5000,122,10.033037,0
6,0,70492,59553,20842,17884,84,9.603284,0
3,1,70649,58936,5800,7782,110,10.033037,0
10,0,68827,48455,25167,22405,76,8.807888,0
2,0,64146,56338,15909,10121,98,8.671598,0
1,2,68239,64284,36479,34285,68,9.391018,1
1,0,68239,61345,28831,24467,65,9.391018,0
8,0,80663,56559,11567,35660,64,10.438681,0
4,2,68777,57719,15447,17538,88,9.092387,0
8,0,80663,69275,23883,38689,78,10.438681,0
10,0,68827,59441,27460,20194,92,8.807888,0
8,0,80663,62099,15334,40404,63,10.438681,0
1,0,68239,54975,29505,18162,53,9.391018,0
4,0,68777,64021,21351,29205,89,9.092387,1
8,0,80663,60525,16269,40151,67,10.438681,0
10,0,68827,60789,33297,18823,100,8.807888,1
3,0,70649,61674,9313,9225,96,10.033037,0
9,0,68324,59330,31822,28979,72,8.474327,1
6,2,70492,67607,33488,14144,124,9.603284,1
11,0,66925,50733,28443,25785,40,8.408439,0
6,0,70492,59681,21123,10936,127,9.603284,0
3,0,70649,63025,8517,12436,107,10.033037,0
3,4,70649,61136,12909,16089,112,10.033037,0
3,1,70649,57825,10400,8397,101,10.033037,0
6,0,70492,60066,17974,10633,96,9.603284,0
10,0,68827,58514,26550,27549,79,8.807888,1
5,0,69045,56833,4537,7168,125,8.632123,0
10,2,68827,55901,33603,21750,85,8.807888,0
1,0,68239,55402,28410,16725,62,9.391018,0
3,1,70649,60975,3820,5145,109,10.033037,0
7,0,64478,61097,15271,8076,127,8.697430,1
11,5,66925,56617,31660,31479,80,8.408439,1
1,0,68239,58889,34321,24667,61,9.391018,0
4,0,68777,58639,19452,17798,85,9.092387,0
8,2,80663,63204,22732,38598,73,10.438681,0
10,2,68827,60559,31983,18472,90,8.807888,1
10,0,68827,58899,29778,22558,90,8.807888,1
5,2,69045,61808,10606,4945,150,8.632123,0
3,1,70649,60220,10744,11773,101,10.033037,0
1,0,68239,64189,27924,19134,42,9.391018,0
4,0,68777,68639,19577,26708,78,9.092387,0
11,1,66925,52643,27900,25125,68,8.408439,0
11,1,66925,54351,33926,30310,81,8.408439,1
2,2,64146,61779,11128,10850,116,8.671598,1
9,1,68324,59496,27068,38616,90,8.474327,1
6,0,70492,64469,23875,13567,101,9.603284,0
11,0,66925,61416,30243,30155,74,8.408439,1
3,1,70649,52281,5521,9193,114,10.033037,0
8,3,80663,69851,20847,40709,76,10.438681,1
5,4,69045,59704,3080,10752,136,8.632123,0
11,0,66925,66791,32359,32717,76,8.408439,1
5,1,69045,58262,2913,12754,112,8.632123,0
7,0,64478,57898,9999,8874,125,8.697430,0
7,0,64478,47691,7646,10949,107,8.697430,0
11,0,66925,64999,33698,36695,60,8.408439,1
1,1,68239,55865,26628,27348,60,9.391018,0
4,0,68777,48624,18869,13961,65,9.092387,0
4,0,68777,61400,24020,19070,80,9.092387,0
8,0,80663,65217,17941,36113,81,10.438681,0
1,1,68239,64577,36230,23103,55,9.391018,1
1,0,68239,51780,25407,18407,62,9.391018,0
8,0,80663,71510,20257,45599,66,10.438681,0
7,1,64478,54985,15812,7054,136,8.697430,0
3,0,70649,55711,5421,13501,112,10.033037,0
1,1,68239,54666,22513,22347,56,9.391018,0
4,0,68777,56423,9429,15648,82,9.092387,0
8,3,80663,79204,31825,47700,82,10.438681,1
10,1,68827,60118,32752,24013,84,8.807888,1
8,0,80663,70329,16036,37256,76,10.438681,0
8,0,80663,62838,17668,39151,53,10.438681,0
4,2,68777,57852,15467,9833,73,9.092387,0
2,0,64146,46514,11418,9390,97,8.671598,0
2,0,64146,54311,14472,5685,108,8.671598,0
1,1,68239,63582,28187,22085,53,9.391018,0
1,2,68239,51789,22384,23775,59,9.391018,0
1,3,68239,59341,30695,22097,75,9.391018,1
1,1,68239,66172,37938,27562,62,9.391018,1
8,0,80663,70756,18825,39258,72,10.438681,0
3,1,70649,63859,9699,14240,112,10.033037,0
6,0,70492,61477,24176,16330,111,9.603284,1
9,0,68324,62534,23362,23255,87,8.474327,1
6,1,70492,56204,19808,11580,108,9.603284,0
8,0,80663,69128,19649,41641,77,10.438681,0
8,1,80663,64089,21786,28796,59,10.438681,0
6,0,70492,58703,25324,11509,112,9.603284,1
6,0,70492,54612,21035,16909,93,9.603284,0
8,0,80663,50224,13006,23594,82,10.438681,0
6,3,70492,66759,35491,12400,117,9.603284,1
3,0,70649,59026,5817,8811,96,10.033037,0
11,0,66925,54438,30111,30134,63,8.408439,1
8,0,80663,75479,29246,52301,77,10.438681,1
6,0,70492,59374,19888,11219,98,9.603284,0
3,0,70649,55964,4215,4477,108,10.033037,0
10,0,68827,61134,29329,22573,79,8.807888,1
3,0,70649,56494,12108,11366,103,10.033037,0
9,0,68324,60006,27572,28761,75,8.474327,1
8,1,80663,64940,21223,41950,73,10.438681,0
10,0,68827,57001,35071,23233,86,8.807888,1
5,2,69045,57169,4186,8192,132,8.632123,0
7,1,64478,56383,12573,9456,103,8.697430,0
2,0,64146,57550,15121,11319,95,8.671598,0
3,0,70649,59399,10047,10223,106,10.033037,0
11,0,66925,56123,33987,26606,69,8.408439,1
11,0,66925,55404,26080,27784,66,8.408439,0
3,0,70649,54815,6895,8373,98,10.033037,0
11,3,66925,55480,32303,35756,84,8.408439,1
3,0,70649,60595,8211,10948,122,10.033037,0
