hostRegionCode,cityId,hostRegion,officialBudgetCents,matches,stadiumCapacity,tournamentDemand,demandClass,venueAccessType,adjacentRailStops,transferStructure,dominantBottleneck,pedestrianAreaIds,evidenceRecordCount
1,atlanta,Atlanta,939101800,8,68239,543182,capacity_proxy,Downtown; two nearby rail stations,2,Airport rail spine; downtown station distribution,Station/platform circulation and wayfinding,"[""atl-vine-city"",""atl-sec-district""]",4
2,boston,Boston,867159800,7,64146,447283,observed_final,Remote Foxborough venue; event commuter rail,1,Long radial rail/coach trip,"Rail timetable, queues and incident contingency","[""bos-foxboro-station"",""bos-patriot-place-gate-a""]",3
3,dallas,Dallas,1003303700,9,70649,632662,capacity_proxy,Arlington venue; no direct regional rail,0,Regional rail-to-shuttle transfer,Last-mile roadway and curb capacity,"[""dal-att-way-east-plaza"",""dal-miller-litehouse""]",0
4,houston,Houston,909238700,7,68777,479032,capacity_proxy,Urban stadium on METRORail Red Line,1,Rail plus freeway/arterial access,Rail throughput and road conflicts,"[""hou-stadium-park-astrodome"",""hou-kirby-nrg""]",0
5,kansas-city,Kansas City,863212300,6,69045,412199,capacity_proxy,Truman Sports Complex; no rail,0,I-70 and bus staging,Bus priority and curb dispatch,"[""kc-blue-ridge-gate3"",""kc-west-plaza""]",0
6,los-angeles,Los Angeles,960328400,8,70492,560000,observed_final,Inglewood venue without direct heavy rail,0,Rail/bus hubs feed stadium connectors,Connector travel time and staging,"[""la-sofi-south-plaza"",""la-downtown-inglewood""]",1
7,miami,Miami,869743000,7,64478,449157,observed_final,Miami Gardens; remote from Metrorail,0,Multi-hub shuttle network,"Long connectors, heat, curb and freeway reliability","[""mia-nw199-nw27"",""mia-south-gate""]",1
8,nynj,New York/New Jersey,1043868100,8,80663,620555,observed_final,Meadowlands special-event rail/shuttle/parking,1,Secaucus transfer and American Dream desire lines,Station throughput plus unmanaged drop-off,"[""nynj-meadowlands-station"",""nynj-american-dream-corridor""]",5
9,philadelphia,Philadelphia,847432700,6,68324,407894,capacity_proxy,Sports Complex rail terminus,1,Direct B Line plus freeway/parking,NRG egress surge and platform queues,"[""phi-nrg-station"",""phi-lots-de""]",1
10,sf-bay,San Francisco Bay Area,880788800,6,68827,410000,observed_final,Santa Clara; VTA light rail near venue,1,BART/Caltrain/ACE transfer to VTA,Last-leg VTA and regional transfers,"[""sf-great-america-station"",""sf-tasman-debartolo""]",2
11,seattle,Seattle,840843900,6,66925,399542,capacity_proxy,Downtown venue next to Link,2,Direct Link and regional bus/rail/ferry,Pedestrian/platform throughput and recovery,"[""sea-stadium-station"",""sea-occidental-south""]",1
